Code,Description
9E,Endeavor Air Inc. (2013 - )
AA,American Airlines Inc. (1960 - )
AS,Alaska Airlines Inc. (1960 - )
B6,JetBlue Airways (2000 - )
DL,Delta Air Lines Inc. (1960 - )
EV,ExpressJet Airlines Inc. (2012 - 2019)
F9,Frontier Airlines Inc. (1994 - )
G4,Allegiant Air (2000 - )
HA,Hawaiian Airlines Inc. (1960 - )
MQ,Envoy Air (2014 - )
NK,Spirit Air Lines (1992 - )
OH,PSA Airlines Inc. (2015 - )
OO,SkyWest Airlines Inc. (2003 - )
UA,United Air Lines Inc. (1960 - )
VX,Virgin America (2007 - 2018)
WN,Southwest Airlines Co. (1979 - )
YV,Mesa Airlines Inc. (1995 - )
YX,Republic Airline (2017 - )